state,geo_value,stay_at_home_date,stay_at_home_expire_date
Alabama,AL,4/4/20,4/30/20
Alaska,AK,3/11/20,4/21/20
Arizona,AZ,3/30/20,5/15/20
Arkansas,AR,,
California,CA,3/19/20,
Colorado,CO,3/26/20,5/8/20
Connecticut,CT,3/23/20,5/20/20
Delaware,DE,3/24/20,5/15/20
District of Columbia,DC,4/1/20,5/29/20
Florida,FL,3/20/20,4/30/20
Georgia,GA,4/3/20,4/30/20
Hawaii,HI,3/25/20,5/31/20
Idaho,ID,3/25/20,4/30/20
Illinois,IL,3/21/20,5/30/20
Indiana,IN,3/25/20,5/1/20
Iowa,IA,,
Kansas,KS,,
Kentucky,KY,3/26/20,
Louisiana,LA,3/23/20,5/14/20
Maine,ME,4/2/20,5/31/20
Maryland,MD,3/30/20,5/15/20
Massachusetts,MA,4/24/20,5/18/20
Michigan,MI,3/24/20,6/5/20
Minnesota,MN,3/27/20,5/4/20
Mississippi,MS,4/3/20,5/11/20
Missouri,MO,4/6/20,5/3/20
Montana,MT,3/26/20,4/24/20
Nebraska,NE,,
Nevada,NV,3/31/20,5/15/20
New Hampshire,NH,3/27/20,6/15/20
New Jersey,NJ,3/21/20,
New Mexico,NM,3/24/20,5/15/20
New York,NY,3/22/20,5/15/20
North Carolina,NC,3/30/20,5/8/20
North Dakota,ND,,
Ohio,OH,3/23/20,5/30/20
Oklahoma,OK,,
Oregon,OR,3/23/20,
Pennsylvania,PA,4/1/20,5/8/20
Rhode Island,RI,3/28/20,5/8/20
South Carolina,SC,4/7/20,5/12/20
South Dakota,SD,,
Tennessee,TN,4/2/20,4/30/20
Texas,TX,4/2/20,4/30/20
Utah,UT,,
Vermont,VT,3/24/20,5/15/20
Virginia,VA,3/30/20,6/10/20
Washington,WA,3/23/20,5/4/20
West Virginia,WV,3/24/20,5/4/20
Wisconsin,WI,3/25/20,5/26/20
Wyoming,WY,,
